source,target,value
Austria,France,1
Germany,Russia,1
Austria,Germany,1
France,Poland,2
France,Germany,4
Germany,Poland,3
Estonia,Latvia,2
Estonia,Lithuania,2
Latvia,Lithuania,2
Denmark,Norway,2
Germany,Sweden,1
Luxembourg,Netherlands,1
Albania,Greece,1
Belarus,Ukraine,1
Egypt,Libya,1
Iran,Iraq,1
Germany,Japan,2
Japan,Russia,2
Germany,Italy,2
Algeria,Morocco,1
China,Japan,3
Italy,Japan,1
Guam,Hong Kong,1
Guam,Japan,2
Guam,Philippines,1
Guam,Singapore,1
Guam,Thailand,1
Hong Kong,Japan,1
Hong Kong,Philippines,1
Hong Kong,Singapore,1
Hong Kong,Thailand,1
Japan,Philippines,1
Japan,Singapore,1
Japan,Thailand,1
Philippines,Singapore,1
Philippines,Thailand,1
Singapore,Thailand,1
Australia,Philippines,1
Japan,Solomon Islands,1
India,Japan,1
China,France,1
China,India,2
China,Israel,1
China,North Korea,2
China,Pakistan,1
China,Russia,1
France,India,1
France,Israel,1
France,North Korea,1
France,Pakistan,1
France,Russia,1
India,Israel,1
India,North Korea,1
India,Pakistan,2
India,Russia,1
Israel,North Korea,1
Israel,Pakistan,1
Israel,Russia,1
North Korea,Pakistan,1
North Korea,Russia,1
Pakistan,Russia,1
Israel,South Africa,1
Iran,Libya,1
Cambodia,Laos,1
Cambodia,Vietnam,1
Laos,Vietnam,1
Ghana,Kenya,1
Estonia,Finland,1
Estonia,Romania,1
Finland,Latvia,1
Finland,Lithuania,1
Finland,Romania,1
Latvia,Romania,1
Lithuania,Romania,1
Albania,Bulgaria,1
Albania,Hungary,1
Albania,Poland,1
Albania,Romania,1
Bulgaria,Hungary,1
Bulgaria,Poland,1
Bulgaria,Romania,1
Hungary,Poland,1
Hungary,Romania,1
Poland,Romania,1
China,Cuba,1
China,Mongolia,1
China,Vietnam,1
Cuba,Mongolia,1
Cuba,North Korea,1
Cuba,Vietnam,1
Mongolia,North Korea,1
Mongolia,Vietnam,1
North Korea,Vietnam,1
North Korea,South Korea,1
North Korea,United States,1
South Korea,United States,1
Australia,Canada,1
Canada,Japan,1
Canada,Russia,1
