Sentence,Countries
"After a period of diplomatic and military escalation known as the July Crisis, by the end of July 1914 two coalitions were at war: the Allies, comprised initially of the British Empire, France, and the Russian Empire; and the Central Powers, comprised initially of the German Empire and Austria-Hungary.","['France', 'Austria']"
"In 1917, Russia ended hostile actions against the Central Powers after the fall of the Tsar.",['Russia']
"The Bolsheviks negotiated the Treaty of Brest-Litovsk with Germany, although it was a huge cost to Russia.","['Germany', 'Russia']"
"In the treaty, Bolshevik Russia ceded the Baltic states to Germany, and its province of Kars Oblast in the South Caucasus to the Ottoman Empire.",['Germany']
It also recognized the independence of Ukraine.,['Ukraine']
"Although Germany shifted huge forces from the eastern to the western front after signing the treaty, it was unable to stop the Allied advance, especially with the entrance of American troops in 1918.",['Germany']
"Germany was never occupied by Allied troops, yet it had to accept a liberal democratic government imposed on it by the victors after the abdication of Kaiser Wilhelm.",['Germany']
Fascism first appeared in Italy with the rise to power of Benito Mussolini in 1922.,['Italy']
"When Adolf Hitler came to power in Germany in 1933, a new variant of fascism called Nazism took over Germany and ended the German experiment with democracy.","['Germany', 'Germany']"
"The Nazi Party in Germany was dedicated to the restoration of German honor and prestige, the unification of German-speaking peoples, and the annexation of Central and Eastern Europe as vassal states, with the Slavic population to act as slave labor to serve German economic interests.",['Germany']
They could see nothing wrong with a strong Germany ready to take on the communist menace to the east.,['Germany']
"Hitler began to put his plan in motion, annexing Austria in the Anschluss, or reunification of Austria to Germany, in 1938.","['Austria', 'Austria', 'Germany']"
Spain also became a dictatorship under the leadership of General Francisco Franco after the Spanish Civil War.,['Spain']
"Soon after the events in Czechoslovakia, Britain and France issued assurances of protection to Poland, which seemed to be next on Hitler's list.","['France', 'Poland']"
"World War II officially began on 1 September 1939, when Hitler unleashed his Blitzkrieg, or lightning war, against Poland.",['Poland']
"Britain and France, much to Hitler's surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible.","['France', 'Germany', 'Poland']"
"Sixteen days later, Poland was attacked from the East by Soviet Union, acting in a secret alliance with Nazi Germany.",['Poland']
"As Hitler's forces conquered Poland, the Soviet Union, under General Secretary Joseph Stalin, was acting out guarantees of territory under a secret part of a nonaggression pact between the USSR and Germany known as the MolotovRibbentrop Pact.","['Poland', 'Germany']"
"This treaty gave Stalin free rein to take the Baltic republics of Estonia, Latvia, and Lithuania, as well as Eastern Poland, all of which would remain in Soviet possession after the war.","['Estonia', 'Latvia', 'Lithuania']"
"Stalin also launched an attack on Finland, which he hoped to reduce to little more than a Soviet puppet state, but the Red Army met staunch Finnish resistance in what became known as the Winter War and succeeded in gaining only limited territory from the Finns.",['Finland']
This action would later cause the Finns to ally with Germany when its attack on the Soviet Union came in 1941.,['Germany']
"After the defeat of Poland, a period known as the Phony War ensued during the winter of 19391940, which saw only limited military land operation on the Western Front.",['Poland']
"This changed when Hitler occupied Denmark and Norway, beginning on 9 April 1940.","['Denmark', 'Norway']"
Norway was strategically important because of its sea routes which supplied crucial Swedish ore to the Nazi war machine.,['Norway']
"Norway held on for a few crucial weeks, but Denmark surrendered after only six hours.","['Norway', 'Denmark']"
"Sweden was the only Scandinavian country to successfully maintain its neutrality throughout the war, with occasional breaches of neutrality in favor of both Germany and the Western Allies.","['Sweden', 'Germany']"
"On the 10 May 1940, when the Germans launched a massive attack on the Low Countries (Belgium, the Netherlands, and Luxembourg), likely to surmount the Maginot Line of defenses on the Franco-German border.","['Netherlands', 'Luxembourg']"
"The worst of this was that King Leopold III of Belgium surrendered to the Germans on 28 May without warning his allies, exposing the entire flank of the Allied forces to German panzer groups.",['Belgium']
"With the disaster in the Low Countries, France, considered at the time to have had the finest army in the world, lasted only six weeks, with Paris being occupied on 14 June.",['France']
"The debacle in France also led to one of the war's greatest mysteries, and Hitler's first great blunder, Dunkirk, where a third of a million trapped British and French soldiers were evacuated by not only British war boats, but every craft the army could find, including fishing boats.",['France']
